M?,Tàn,VKT
89,An Giang,??ng b?ng Sìng C?u Long
77,BÖ R?a - V?ng TÖu,?ìng Nam B?
24,B?c Giang,Trung du vÖ mi?n n£i B?c B?
06,B?c K?n,Trung du vÖ mi?n n£i B?c B?
95,B?c Liàu,??ng b?ng Sìng C?u Long
27,B?c Ninh,??ng b?ng sìng H?ng
83,B?n Tre,??ng b?ng Sìng C?u Long
52,Bçnh ??nh,B?c Trung B? vÖ duyàn h?i mi?n Trung
74,Bçnh D??ng,?ìng Nam B?
70,Bçnh Ph??c,?ìng Nam B?
60,Bçnh Thu?n,B?c Trung B? vÖ duyàn h?i mi?n Trung
96,CÖ Mau,??ng b?ng Sìng C?u Long
92,C?n Th?,??ng b?ng Sìng C?u Long
04,Cao B?ng,Trung du vÖ mi?n n£i B?c B?
48,?Ö N?ng,B?c Trung B? vÖ duyàn h?i mi?n Trung
66,??k L?k,TÉy Nguyàn
67,??k Nìng,TÉy Nguyàn
11,?i?n Biàn,Trung du vÖ mi?n n£i B?c B?
75,??ng Nai,?ìng Nam B?
87,??ng Th†p,??ng b?ng Sìng C?u Long
64,Gia Lai,TÉy Nguyàn
02,HÖ Giang,Trung du vÖ mi?n n£i B?c B?
35,HÖ Nam,??ng b?ng sìng H?ng
01,HÖ N?i,??ng b?ng sìng H?ng
42,HÖ T?nh,B?c Trung B? vÖ duyàn h?i mi?n Trung
30,H?i D??ng,??ng b?ng sìng H?ng
31,H?i Phïng,??ng b?ng sìng H?ng
93,H?u Giang,??ng b?ng Sìng C?u Long
79,TP H? Ch° Minh,?ìng Nam B?
17,HoÖ Bçnh,Trung du vÖ mi?n n£i B?c B?
33,H?ng Yàn,??ng b?ng sìng H?ng
56,Kh†nh Hïa,B?c Trung B? vÖ duyàn h?i mi?n Trung
91,Kiàn Giang,??ng b?ng Sìng C?u Long
62,Kon Tum,TÉy Nguyàn
12,Lai ChÉu,Trung du vÖ mi?n n£i B?c B?
68,LÉm ??ng,TÉy Nguyàn
20,L?ng S?n,Trung du vÖ mi?n n£i B?c B?
10,LÖo Cai,Trung du vÖ mi?n n£i B?c B?
80,Long An,??ng b?ng Sìng C?u Long
36,Nam ??nh,??ng b?ng sìng H?ng
40,Ngh? An,B?c Trung B? vÖ duyàn h?i mi?n Trung
37,Ninh Bçnh,??ng b?ng sìng H?ng
58,Ninh Thu?n,B?c Trung B? vÖ duyàn h?i mi?n Trung
25,Ph£ Th?,Trung du vÖ mi?n n£i B?c B?
54,Ph£ Yàn,B?c Trung B? vÖ duyàn h?i mi?n Trung
44,Qu?ng Bçnh,B?c Trung B? vÖ duyàn h?i mi?n Trung
49,Qu?ng Nam,B?c Trung B? vÖ duyàn h?i mi?n Trung
51,Qu?ng Ng?i,B?c Trung B? vÖ duyàn h?i mi?n Trung
22,Qu?ng Ninh,??ng b?ng sìng H?ng
45,Qu?ng Tr?,B?c Trung B? vÖ duyàn h?i mi?n Trung
94,S¢c Tr?ng,??ng b?ng Sìng C?u Long
14,S?n La,Trung du vÖ mi?n n£i B?c B?
72,TÉy Ninh,?ìng Nam B?
34,Th†i Bçnh,??ng b?ng sìng H?ng
19,Th†i Nguyàn,Trung du vÖ mi?n n£i B?c B?
38,Thanh H¢a,B?c Trung B? vÖ duyàn h?i mi?n Trung
46,Th?a Thiàn Hu?,B?c Trung B? vÖ duyàn h?i mi?n Trung
82,Ti?n Giang,??ng b?ng Sìng C?u Long
84,TrÖ Vinh,??ng b?ng Sìng C?u Long
08,Tuyàn Quang,Trung du vÖ mi?n n£i B?c B?
86,V?nh Long,??ng b?ng Sìng C?u Long
26,V?nh Ph£c,??ng b?ng sìng H?ng
15,Yàn B†i,Trung du vÖ mi?n n£i B?c B?
,,
